"Module 1","Module 2","Count","Semester"
"DSA2101","ST4233",0,2010
"DSA3101","ST4233",0,2010
"DSA4211","ST4233",11,2010
"DSA4264","ST4233",0,2010
"ST1131","ST4233",1,2010
"ST1232","ST4233",0,2010
"ST2131&MA2216","ST4233",0,2010
"ST2132","ST4233",0,2010
"ST2137","ST4233",2,2010
"ST2334","ST4233",0,2010
"ST3131","ST4233",0,2010
"ST3233","ST4233",7,2010
"ST3236&MA3238","ST4233",2,2010
"ST3240","ST4233",8,2010
"ST3242","ST4233",7,2010
"ST3248","ST4233",9,2010
"ST4231","ST4233",26,2010
"ST4233","ST4233",47,2010
"ST4241","ST4233",6,2010
"ST4245","ST4233",16,2010
"SP4261","ST4233",0,2010
"ESP2107","ST4233",0,2010
"DSA1101","ST4241",0,2010
"DSA2101","ST4241",0,2010
"DSA3101","ST4241",0,2010
"DSA4211","ST4241",0,2010
"DSA4264","ST4241",0,2010
"ST1131","ST4241",1,2010
"ST1232","ST4241",0,2010
"ST2131&MA2216","ST4241",0,2010
"ST2132","ST4241",0,2010
"ST2137","ST4241",0,2010
"ST2334","ST4241",0,2010
"ST3131","ST4241",1,2010
"ST3233","ST4241",2,2010
"ST3236&MA3238","ST4241",1,2010
"ST3240","ST4241",0,2010
"ST3242","ST4241",7,2010
"ST3248","ST4241",0,2010
"ST4231","ST4241",7,2010
"ST4233","ST4241",6,2010
"ST4241","ST4241",11,2010
"ST4245","ST4241",5,2010
"SP4261","ST4241",0,2010
"ESP2107","ST4241",0,2010
"DSA1101","ST4245",0,2010
"DSA2101","ST4245",0,2010
"DSA3101","ST4245",2,2010
"DSA4211","ST4245",10,2010
"DSA4264","ST4245",0,2010
"ST1131","ST4245",3,2010
"ST1232","ST4245",0,2010
"ST2131&MA2216","ST4245",0,2010
"ST2132","ST4245",1,2010
"ST2137","ST4245",3,2010
"ST2334","ST4245",1,2010
"ST3131","ST4245",0,2010
"ST3233","ST4245",5,2010
"ST3236&MA3238","ST4245",5,2010
"ST3240","ST4245",4,2010
"ST3242","ST4245",6,2010
"ST3248","ST4245",8,2010
"ST4231","ST4245",24,2010
"ST4233","ST4245",16,2010
"ST4241","ST4245",5,2010
"ST4245","ST4245",79,2010
"SP4261","ST4245",0,2010
"ESP2107","ST4245",0,2010
"DSA1101","SP4261",0,2010
"DSA2101","SP4261",0,2010
"DSA3101","SP4261",1,2010
"DSA4211","SP4261",0,2010
"DSA4264","SP4261",0,2010
"ST1131","SP4261",0,2010
"ST1232","SP4261",0,2010
"ST2131&MA2216","SP4261",1,2010
"ST2132","SP4261",0,2010
